chao_1.25, Total distance: 432.874
chao_1.30a,  Total distance: 535.002
chao_1.30b,  Total distance: 497.676
chao_1.30c, Total distance: 531.606
chao_1.40a,  Total distance: 725.466
chao_1.40b,  Total distance: 633.867
chao_1.40c,  Total distance: 705.415
chao_10.25, Total distance: 500.089
chao_10.30a,  Total distance: 582.16
chao_10.30b,  Total distance: 537.009
chao_10.30c, Total distance: 620.68
chao_10.40a,  Total distance: 758.492
chao_10.40b,  Total distance: 698.285
chao_10.40c,  Total distance: 840.897
chao_11.25, Total distance: 521.901
chao_11.30a,  Total distance: 577.189
chao_11.30b,  Total distance: 498.53
chao_11.30c, Total distance: 568.108
chao_11.40a,  Total distance: 790.147
chao_11.40b,  Total distance: 683.917
chao_11.40c,  Total distance: 857.826
chao_12.25, Total distance: 535.614
chao_12.30a,  Total distance: 683.236
chao_12.30b,  Total distance: 580.515
chao_12.30c, Total distance: 670.874
chao_12.40a,  Total distance: 862.839
chao_12.40b,  Total distance: 766.441
chao_12.40c,  Total distance: 892.357
chao_2.25, Total distance: 486.517
chao_2.30a,  Total distance: 560.292
chao_2.30b,  Total distance: 518.672
chao_2.30c, Total distance: 533.123
chao_2.40a,  Total distance: 754.762
chao_2.40b,  Total distance: 697.13
chao_2.40c,  Total distance: 718.039
chao_3.25, Total distance: 498.026
chao_3.30a,  Total distance: 585.101
chao_3.30b,  Total distance: 542.723
chao_3.30c,  Total distance: 531.658
chao_3.40a,  Total distance: 764.946
chao_3.40b,  Total distance: 751.586
chao_3.40c,  Total distance: 687.953
chao_4.25, Total distance: 477.412
chao_4.30a,  Total distance: 554.253
chao_4.30b,  Total distance: 476.778
chao_4.30c, Total distance: 546.565
chao_4.40a,  Total distance: 730.106
chao_4.40b,  Total distance: 646.083
chao_4.40c,  Total distance: 708.773
chao_5.25, Total distance: 494.842
chao_5.30a,  Total distance: 606.815
chao_5.30b,  Total distance: 522.774
chao_5.30c, Total distance: 558.779
chao_5.40a,  Total distance: 787.715
chao_5.40b,  Total distance: 668.274
chao_5.40c,  Total distance: 731.787
chao_6.25, Total distance: 546.367
chao_6.30a,  Total distance: 685.527
chao_6.30b,  Total distance: 562.019
chao_6.30c, Total distance: 590.612
chao_6.40a,  Total distance: 919.465
chao_6.40b,  Total distance: 727.31
chao_6.40c,  Total distance: 778.298
chao_7.25, Total distance: 444.29
chao_7.30a,  Total distance: 509.75
chao_7.30b,  Total distance: 494.173
chao_7.30c,  Total distance: 516.658
chao_7.40a,  Total distance: 663.658
chao_7.40b,  Total distance: 648.688
chao_7.40c,  Total distance: 615.029
chao_8.25, Total distance: 487.671
chao_8.30a,  Total distance: 529.736
chao_8.30b,  Total distance: 528.121
chao_8.30c, Total distance: 633.537
chao_8.40a,  Total distance: 679.772
chao_8.40b,  Total distance: 635.344
chao_8.40c,  Total distance: 767.603
chao_9.25, Total distance: 515.336
chao_9.30a,  Total distance: 648.498
chao_9.30b,  Total distance: 602.935
chao_9.30c,  Total distance: 579.516
chao_9.40a,  Total distance: 746.81
chao_9.40b,  Total distance: 719.224
chao_9.40c,  Total distance: 654.853
